FranchiseId	FranchiseSeasonId	Slug	Abbreviation	ColorCodeHex	ColorCodeAltHex
c013001c-7957-af4e-bb6d-bb0091be95f9	f0a78a53-edeb-f774-05db-ec180d96d34e	buffalo-bulls	BUFF	041A9B	ebebeb
6a48b4bb-f49c-5bed-5393-f10b40fef63f	4b9f49c6-098e-1f4d-9b76-96861484f569	buffalo-state-bengals	BUF	000000	NULL
7d09add4-5295-aa4b-9f21-9308f76ad651	7630819a-c660-4a8e-35b6-c0aa40e836cf	butler-bulldogs	BUT	0d1361	00a3e0
f5ae4a7b-64fc-1ea8-037e-23440ac583e1	f612a671-718a-55cd-60f0-8fde6743e286	byu-cougars	BYU	003da5	ffffff
7c291481-df03-9011-382a-298692463168	0c350e24-a018-1557-dcc4-a08d66db0278	california-golden-bears	CAL	031522	ffc423
82c024fd-fda2-ec7d-bcf3-fc46080ed644	d7a9b4c3-2add-3ee7-a72f-c261d8df3ebc	cal-poly-mustangs	CP	1E4D2B	eed897
0fdc95dc-7012-43ba-d4ec-bc820665817a	0ad9bbfa-9c08-0c25-e790-24d436b8ec9d	calvin-university-knights	CAL	000000	NULL
15f0bda4-a10a-feea-8225-cfe74aeca88c	c7f12a7f-41b8-ea61-0842-3a08066ca1dd	campbell-fighting-camels	CAM	000000	NULL
f0c0c8bc-33ed-ca1c-b382-dbbd1c6be171	e64bbbf4-d1ca-d34b-18c8-201e81549d63	capital-comets	CAP	000000	NULL
779f65f0-6e90-2fef-7ee3-1a65b3b24853	c4acd14b-7c54-7bfb-af20-d6665e84d987	carnegie-mellon-tartans	CAR	000000	NULL
e473d6ac-6417-5a59-f76c-afc08bd32886	c0990286-4022-1503-c919-954d5f22542e	carthage-firebirds	CAR	000000	NULL
affcfe3a-1e5b-1ebb-02d9-0cfc3d7ee675	ef77efc4-e7fe-a89d-23a1-46636d56dca7	case-western-reserve-spartans	CAS	000000	NULL
e27e56b0-0ef2-329c-b48f-47c139c7f1b8	8b4a9440-2b14-c3e1-273b-a319962292ff	castleton-spartans	CAS	000000	NULL
3b3f8917-02ae-caf1-9a00-4f52b1844c8e	fd2ca76b-63c7-20aa-f58b-2f35d14b6b8d	catawba-indians	CAT	0c233f	cb152f
7a8e6f9d-957c-f277-acde-a09e7ccc2588	0c85cfbd-2887-c7cf-8d75-f2ab6e97af68	catholic-cardinals	CAT	000000	NULL
20977f87-4f54-587b-97e6-a686c18803ba	a350cf29-2162-0f37-9c62-9929a56aa2a5	centenary-gentlemen	CEN	000000	NULL
de8efa8f-08d3-8a2e-9480-5069e1345b31	5ad3a71c-43fb-9c31-6b3b-a8bb21c9137c	central-arkansas-bears	CARK	a7a9ac	8e959a
0de91539-dc85-8499-d4cd-ac6bc757036a	cd88ecb8-e656-48aa-9137-d4261472e570	central-college-dutch	CEN	ea0029	c8c8c8
72b29a08-26a6-1c53-8fdf-1adb8e6dd00a	4be10353-cfd1-841e-d472-e9dbf04ee043	central-connecticut-blue-devils	CCSU	1B49A2	d1d5d8
c31fd324-1e33-f7c9-5a33-11b73a1e0ff2	17115681-60d9-853b-85ea-af6e04791022	central-methodist-eagles	CEN	000000	NULL
2309cceb-83e8-32c9-9100-fd093d2f86ad	59f5aadf-5fae-dd9c-b967-5c1083330f92	central-michigan-chippewas	CMU	6a0032	ffc82e
f154e318-4f5a-a56c-de18-b34e8f7f9c16	d5c91121-31e0-60d9-c16d-2a95fb5187df	central-missouri-mules	CENM	000000	NULL
cb1e4e68-0859-aef2-dd97-9f1b811a6579	b61d819c-f055-0c6d-8320-4f92f0bec028	central-oklahoma-bronchos	CENO	000000	NULL
00ede133-1e72-83af-3502-b137584d613d	6cc7db3c-2be8-cf9c-0ac9-8f589dc502ff	central-state-oh-marauders	CEN	000000	NULL
03a52d23-dd19-32d6-a604-986528ef3d9b	58a1df63-218a-ed33-44ea-8bcee651f849	central-washington-wildcats	CEN	000000	NULL
1292a368-ee88-0931-0482-ed9ebd47629f	017c8c47-53e1-7e8d-deda-9c9623d17cb9	charleston-southern-buccaneers	CHSO	2e3192	ded090
c5a27e74-1332-d37a-6b91-b7fab1731e82	79206776-9e49-515b-3b51-d23f054107ce	charlotte-49ers	CLT	ffffff	cfab7a
f75b20ac-204b-8734-5c30-4a3fca2f1cf1	e9616190-ed3c-919f-c4eb-3b0bf265ab57	chattanooga-mocs	UTC	00386b	dca71d
487a910c-b395-76ad-5551-96322539987e	654bb402-0cd3-37a9-847c-0123a60e97fa	chicago-maroons	CHI	000000	NULL
3cb41065-c533-2398-a492-a132f8f509ce	d47b624d-2806-db09-7fee-356014fef36f	chowan-hawks	CHO	000000	NULL
5a3e48f0-a30b-90b7-9cff-78578c6408cf	16e525f3-6f23-4626-1500-f43d74f37e3d	christopher-newport-captains	CHR	000000	NULL
c1dd543f-bc35-da97-83d4-3f1950583f08	3283a7e2-96bd-94eb-e839-ba835fb22efc	cincinnati-bearcats	CIN	000000	717073
b8759568-a575-8d47-8a46-2b99088461ed	f62109b6-8d34-3d1f-2a91-954c057c7990	clarion-golden-eagles	CLA	000000	NULL
c9cb2799-401d-8476-0a88-81b9e35a2f24	3bac49d9-a825-187c-c034-b401b5ca5189	clark-atlanta-panthers	CLA	000000	NULL
a0f78a76-b368-9a1f-e514-c7ba2b083d61	28096cc9-bfae-23b7-555a-73b649025ab3	clemson-tigers	CLEM	f56600	522d80
6cf5fcb4-d58b-d41a-4fae-85ba2ac93d2b	243c90fb-657e-02dd-d268-19eb61032194	coastal-carolina-chanticleers	CCU	007073	876447
d920e37c-1279-9bba-80f4-e4de0a1066cf	1b7862b1-075d-2496-441d-83e06ff44a6b	coast-guard-bears	CGA	000000	NULL
6fa9e4ee-b533-b2b4-b864-bb970a90d1d5	043d4b75-df30-10f0-b478-e337140c1844	coe-college-kohawks	COE	881922	c8934a
807652b9-8ee6-16ce-fb01-a50521923646	8dee7ef6-d4bb-95dc-65e0-ea32815ea1e1	colby-college-white-mules	COL	012778	ffffff
1f588862-3458-9180-abc2-085264dc3a5f	b92873f8-4e85-dc2d-3dd1-5673035a56ca	cole-college-jaguars	COL	ffffff	NULL
073b7540-a2af-dda7-ee08-a73a32a8d05a	eaf56b56-f231-c424-d905-7ed4c146afbe	colgate-raiders	COLG	821019	ffffff
d84688ab-4174-6db3-5b2f-6d15fcba65a6	dc0c967f-23b6-eef3-03c1-005d4db6b746	college-of-idaho-yotes	COI	ffffff	NULL
96bd0fac-fca9-b963-46fe-7f362c84a63d	2d0043a0-c04d-b002-228b-5a53dc595378	colorado-buffaloes	COLO	000000	cfb87c
546e4ed4-af07-015d-2738-839644375dd4	a0783e5e-e2ea-4e14-7ab3-de070be54dd0	colorado-mesa-mavericks	MES	000000	NULL
c3b5acb5-83a0-8392-0170-a2e51c109d87	04ffdc7c-4149-218a-8fa4-33fead925334	colorado-school-of-mines-orediggers	COL	000000	NULL
c37ab140-c7bd-2808-9c1c-c81b21b81878	69677e11-9d1a-9e2b-f939-50f4164d53a0	colorado-state-rams	CSU	1e4d2b	c8c372
6d5fe106-f4ac-0e52-a096-d3f77b376868	1ea469bf-8340-1e5a-31b8-a4dedf07df96	columbia-lions	COLU	174785	004b85
6429cef1-baaf-6405-3704-f32ef727fb67	7f2d3e64-b4e7-d908-dda3-bf3bb9ffce16	concordia-wisconsin-falcons	CONW	245699	b1b3b3
47a4ae03-6a2c-3c82-21c2-3732bfa349c1	14a3d2c4-d5fc-dffb-261f-d7ed0b22a846	cornell-big-red	COR	d60027	101010
2996eb47-a1e9-9673-5361-8f126ac46e81	0ddf5d4e-08ff-5601-7876-b654d4a8ba20	cornell-college-ia-rams	COR	000000	NULL
f32ac8e9-4692-f53a-1ccc-9597511f9555	24d87c17-3679-8ea1-da6e-951947a362c7	cortland-red-dragons	COR	000000	NULL
11b54bf7-4f63-dfff-422f-201ea9ff6e5e	d2a4563c-76d9-faf5-801c-abdeaffa7fe8	crown-college-polars	CROWN	5c2f92	ffffff
8cda515f-c587-f722-5170-e91ccc6ba6d4	844080f9-324f-ed8d-4889-6aad1a89226d	cumberland-ky-indians	CUMB	000000	NULL
